#Molecules	Sample 1	Sample 2	Sample 3	Sample 4
C01220    	     6.9	     6.5	     7.7	     6.7
C01222    	     4.4	     4.7	     4.2	     4.6
C01234    	     4.9	     4.3	     4.1	     4.3
C01236    	     7.5	     7.5	     7.1	     7.1
C01239    	     6.4	     6.8	     6.8	     6.4
C01242    	     5.3	     5.3	     6.0	     5.7
C01243    	     6.4	     6.3	     6.5	     6.7
C01245    	     7.9	     8.3	     7.1	     7.5
C01251    	     5.0	     5.3	     6.5	     5.1
C01260    	     8.0	     8.0	     7.1	     7.9
C01261    	     5.7	     5.0	     5.1	     5.2
C01271    	     4.6	     4.4	     4.9	     5.1
C01273    	     4.7	     4.6	     5.0	     4.6
C01274    	     9.8	     9.7	     8.9	     9.3
C01279    	     5.5	     5.3	     5.4	     5.0
C01290    	     5.2	     5.2	     5.8	     5.2
C01300    	     5.9	     5.9	     6.2	     6.0
C01302    	     6.5	     6.5	     6.3	     6.1
C01321    	     6.8	     7.0	     7.4	     7.0
C01324    	     4.0	     4.4	     4.9	     4.2
C01327    	     6.6	     6.4	     6.9	     6.7
C01330    	     7.0	     7.2	     7.0	     7.4
C01334    	     5.2	     5.2	     6.0	     5.1
C01335    	     7.1	     7.1	     7.3	     7.3
C01351    	     5.1	     4.8	     5.0	     4.9
C01353    	     5.1	     5.6	     5.3	     5.3
C01370    	     4.4	     4.0	     3.9	     3.8
C01371    	     4.4	     4.4	     4.5	     4.4
C01380    	     4.5	     4.5	     4.4	     4.5
C01406    	     6.2	     5.7	     6.4	     6.3
C01429    	     6.1	     6.2	     7.0	     6.5
C01438    	     5.0	     5.0	     5.1	     5.1
C01449    	     9.9	     9.9	     9.3	     9.8
C01450    	     4.9	     5.0	     5.0	     5.1
C01468    	    10.9	    10.9	    10.6	    10.8
C01483    	     6.5	     6.7	     6.1	     6.7
C01494    	     6.8	     6.8	     7.3	     7.3
C01502    	     4.9	     5.6	     5.5	     5.8
C01505    	     5.4	     4.9	     6.2	     5.0
C01507    	     6.5	     6.6	     6.7	     6.5
C01529    	     4.3	     4.1	     4.1	     4.1
C01595    	     6.2	     6.2	     6.5	     6.3
C01598    	     7.2	     7.1	     7.7	     7.6
C01612    	     5.2	     5.2	     4.7	     5.3
C01628    	     4.4	     4.4	     4.5	     4.4
C01636    	     3.4	     3.4	     3.4	     3.4
C01637    	     6.8	     6.2	     7.1	     6.5
C01638    	     4.3	     4.2	     4.0	     3.9
C01640    	     7.1	     7.5	     7.4	     7.6
C01641    	     5.9	     6.2	     6.1	     5.9
C01642    	     6.6	     6.5	     6.5	     6.8
C01644    	     6.5	     6.1	     7.4	     6.0
C01646    	     6.1	     6.3	     7.1	     6.2
C01649    	     5.0	     4.9	     5.3	     5.3
C01650    	     7.8	     7.8	     7.6	     7.6
C01651    	     6.2	     5.7	     4.6	     5.3
C01666    	     4.6	     4.6	     5.4	     5.1
C01674    	     5.1	     4.9	     5.3	     5.2
C01706    	     5.2	     5.6	     5.2	     5.3
C01708    	     6.5	     6.4	     7.5	     6.8
C01721    	     8.2	     8.3	     7.4	     8.1
C01728    	     5.8	     5.3	     5.9	     5.4
C01768    	     6.9	     7.0	     7.2	     6.8
C01769    	     6.1	     6.1	     7.1	     6.2
C01777    	     8.2	     8.1	     7.6	     7.9
C01782    	     5.6	     6.0	     7.2	     5.6
C01785    	     6.0	     6.0	     6.3	     5.9
C01801    	     4.7	     4.9	     5.3	     4.9
C01810    	     6.4	     6.4	     7.8	     7.0
C01813    	    11.0	    10.8	    10.6	    10.8
C01841    	     7.3	     7.4	     8.1	     7.2
C01843    	     5.9	     6.1	     5.9	     6.2
C01847    	     8.6	     8.9	     8.0	     8.4
C01866    	     3.5	     3.6	     4.1	     3.5
C01872    	     5.1	     5.0	     6.0	     4.8
C01889    	     6.6	     6.4	     6.3	     6.5
C01890    	     5.4	     5.5	     6.3	     5.7
C01909    	     6.8	     6.7	     7.2	     6.5
C01931    	     4.4	     4.4	     4.5	     3.9
C01935    	     6.4	     6.8	     6.6	     6.5
C01958    	     6.2	     6.4	     7.4	     6.8
C01976    	     7.3	     6.9	     6.6	     7.2
C01977    	     7.0	     7.3	     6.7	     6.6
C01978    	     5.8	     6.1	     5.2	     5.5
C01983    	     8.6	     8.4	     7.2	     8.0
C01984    	    10.7	    10.6	    10.1	    10.6
C01996    	     7.0	     7.5	     7.6	     7.0
C01997    	     3.9	     3.9	     3.6	     4.0
C02004    	     7.0	     7.1	     7.8	     6.9
C02012    	     3.9	     3.6	     3.9	     3.7
C02013    	     6.0	     5.6	     6.1	     6.2
C02026    	     4.9	     5.6	     5.1	     5.2
C02031    	     7.3	     7.2	     6.8	     6.7
C02038    	     4.6	     5.1	     6.0	     4.7
C02048    	     4.8	     4.9	     5.4	     5.1
C02051    	     9.2	     9.0	     8.8	     9.1
C02052    	     9.8	     9.9	     9.1	     9.6
C02054    	     7.5	     7.5	     7.1	     7.6
C02061    	     8.7	     9.0	     8.0	     8.6
C02065    	    11.9	    11.9	    11.7	    11.9
C02066    	    12.0	    12.1	    11.8	    11.9
C02069    	     8.8	     8.6	     8.8	     9.1
C02085    	     7.2	     7.2	     7.4	     6.9
C02090    	     8.5	     8.2	     7.5	     8.0
C02096    	    10.3	    10.3	     9.7	    10.0
C02100    	     8.9	     9.4	     8.4	     8.8
C02103    	     9.8	     9.8	     9.4	     9.7
C02137    	     9.8	     9.9	     9.8	     9.5
C02146    	    12.5	    12.5	    12.4	    12.4
C02148    	     7.3	     6.9	     5.3	     6.8
C02160    	     8.9	     9.4	     8.9	     8.9
C02163    	     8.7	     9.0	     8.7	     8.7
C02177    	    10.6	    10.7	     9.8	    10.5
C02179    	     8.7	     9.0	     7.8	     8.7
C02186    	     6.6	     6.7	     6.9	     7.1
C02188    	     9.6	     9.3	     8.4	     8.9
C02191    	     6.6	     6.6	     6.0	     6.4
C02201    	     6.5	     7.2	     6.7	     7.0
C02222    	     7.2	     7.7	     7.1	     7.8
C02230    	     7.2	     7.5	     6.9	     7.6
C02241    	    10.1	    10.2	     9.7	    10.2
C02242    	     7.6	     7.6	     6.6	     7.7
C02246    	     7.3	     6.5	     5.8	     7.3
C02259    	    10.9	    10.9	    10.7	    10.9
C02265    	    10.4	    10.3	     9.6	    10.3
C02269    	     9.2	     9.1	     8.8	     8.9
C02270    	     9.4	     9.4	     8.8	     9.1
C02282    	     9.9	    10.0	     8.5	     9.9
C02303    	    12.2	    12.1	    11.9	    11.9
C02307    	     9.5	     9.6	     8.8	     9.3
C02308    	     8.0	     8.2	     7.5	     7.9
C02337    	     5.9	     5.8	     6.3	     5.6
C02339    	     9.3	     9.1	     8.9	     9.1
C02352    	    10.7	    10.8	    10.2	    10.5
C02389    	     9.1	     9.3	     8.8	     8.7
C02391    	     7.4	     7.5	     6.8	     7.4
C02395    	     9.9	    10.1	     9.7	     9.8
C02404    	    10.0	     9.9	     9.6	     9.9
C02412    	    13.2	    13.2	    13.1	    13.2
C02430    	     9.7	     9.6	     9.0	     9.5
C02461    	    11.0	    11.0	    10.6	    10.9
C02463    	    11.0	    11.0	    10.8	    11.1
C02474    	     6.9	     6.7	     7.2	     6.5
C02480    	     7.9	     8.1	     7.9	     7.7
C02487    	    10.0	     9.9	     9.6	     9.8
C02489    	     7.2	     6.6	     6.6	     6.8
C02492    	     8.4	     8.9	     8.5	     8.3
C02507    	    12.2	    12.2	    12.1	    12.1
C02520    	    10.0	     9.8	     9.7	     9.6
C02526    	     9.2	     9.2	     8.7	     9.1
C02531    	     7.3	     7.6	     6.5	     7.1
C02534    	     8.9	     9.0	     8.4	     8.8
C02538    	     9.4	     9.4	     8.9	     9.3
C02553    	     7.0	     7.1	     7.2	     6.8
C02582    	     7.9	     8.4	     7.2	     7.6
C02592    	     6.9	     6.9	     6.4	     7.0
C02593    	     9.2	     9.2	     8.6	     9.0
C02603    	     8.9	     9.0	     8.4	     8.6
C02607    	     6.0	     6.1	     6.1	     6.2
C02613    	     5.6	     5.9	     5.1	     6.3
C02623    	     8.7	     8.7	     8.3	     8.8
C02632    	     8.9	     8.8	     8.3	     8.6
C02637    	     8.2	     7.8	     8.2	     8.0
C02682    	     6.4	     6.2	     6.8	     6.2
C02684    	     6.0	     5.7	     5.5	     5.8
C02686    	     8.6	     8.6	     8.7	     8.4
C02695    	     7.6	     7.5	     6.7	     7.4
C02702    	     5.2	     5.6	     5.0	     5.8
C02709    	    10.5	    10.4	    10.2	    10.3
C02720    	     8.8	     8.6	     8.3	     8.5
C02734    	     8.6	     8.3	     7.4	     8.2
C02740    	     9.9	    10.0	     9.6	     9.5
C02743    	     7.5	     7.9	     6.9	     7.4
C02752    	     8.4	     8.1	     7.3	     8.0
C02764    	     5.8	     5.9	     5.7	     6.0
C02798    	     4.9	     4.5	     5.1	     5.3
C02848    	     4.7	     4.5	     4.5	     4.8
C02867    	     6.3	     6.2	     5.2	     5.6
C02873    	     7.6	     7.4	     7.4	     7.5
C02898    	     8.2	     8.0	     8.5	     8.0
C02912    	     6.5	     6.6	     6.7	     6.4
C02917    	     8.1	     8.1	     8.2	     7.7
C02929    	     7.3	     7.1	     6.4	     6.9
C02939    	     6.9	     7.2	     6.9	     6.5
C02944    	     6.1	     5.9	     7.5	     6.1
C02949    	     6.8	     6.7	     6.1	     6.5
C02953    	     8.2	     8.4	     8.3	     8.1
C02954    	     6.8	     7.1	     6.5	     6.5
C02967    	     6.2	     6.6	     7.3	     6.5
C02972    	    10.1	     9.9	     9.3	     9.8
C02984    	     8.3	     7.7	     7.4	     8.0
C02987    	     4.7	     4.6	     4.4	     4.1
C02992    	     7.1	     7.2	     6.6	     7.0
C02995    	     7.1	     7.3	     6.6	     7.2
C02998    	     6.5	     6.7	     7.2	     6.9
C03000    	     4.2	     4.1	     4.6	     4.1
C03023    	     4.4	     4.4	     4.4	     4.7
C03024    	     6.1	     6.0	     6.3	     6.0
C03025    	     8.6	     8.5	     8.1	     8.6
C03033    	    12.9	    12.8	    12.7	    12.8
C03069    	    12.9	    13.0	    13.0	    12.9
C03082    	    10.7	    10.4	     9.9	    10.5
C03090    	     5.6	     6.3	     5.7	     5.5
C03103    	     4.8	     5.2	     5.4	     5.3
C03110    	     8.3	     8.5	     8.3	     8.4
C03127    	     6.6	     7.1	     7.0	     7.0
C03136    	     7.3	     7.9	     7.4	     7.5
C03161    	     5.2	     5.1	     5.7	     5.3
C03162    	     6.5	     6.3	     7.1	     7.0
C03169    	     6.2	     6.6	     6.3	     6.1
C03170    	     6.6	     6.6	     7.8	     6.8
C03175    	     7.4	     7.6	     7.3	     7.4
C03216    	    10.6	    10.8	    10.1	    10.5
C03221    	     9.3	     9.1	     8.7	     8.8
C03232    	     6.2	     6.6	     6.8	     6.3
C03236    	     4.8	     4.4	     4.6	     4.9
C03245    	     6.8	     7.1	     7.0	     7.1
C03253    	     5.8	     5.9	     6.1	     5.8
C03254    	     6.0	     5.4	     6.1	     5.6
C03263    	     8.2	     8.3	     7.6	     8.6
C03269    	     7.1	     7.0	     6.9	     7.0
C03287    	     4.7	     5.0	     5.9	     4.9
C03294    	     5.2	     4.4	     3.5	     4.4
C03302    	     8.6	     8.6	     8.0	     8.7
C03303    	     6.8	     6.8	     6.7	     6.7
C03305    	    10.1	     9.9	     9.5	     9.7
C03306    	     6.1	     6.3	     5.7	     6.0
C03319    	     3.2	     3.3	     3.8	     3.6
C03326    	     5.9	     5.2	     5.9	     5.3
C03340    	     4.8	     4.8	     5.0	     4.5
C03344    	     6.5	     6.5	     6.4	     6.5
C03373    	     8.9	     8.9	     8.4	     8.9
C03391    	     9.0	     9.1	     8.0	     8.5
C03396    	    10.1	    10.0	     9.7	    10.0
C03397    	     6.3	     6.1	     6.4	     6.3
C03406    	     4.4	     4.4	     4.8	     4.5
C03419    	     8.7	     8.8	     8.1	     8.4
C03448    	     7.0	     6.3	     7.7	     6.9
C03451    	     8.7	     8.7	     7.9	     8.7
C03465    	     6.6	     6.7	     6.9	     6.8
C03479    	     8.5	     8.3	     7.8	     8.2
C03484    	     6.7	     6.6	     6.9	     6.8
C03506    	     8.5	     8.4	     8.2	     8.3
C03518    	     5.6	     5.1	     5.6	     5.2
C03523    	    10.8	    10.9	    10.5	    10.8
C03541    	     9.4	     9.4	     8.8	     9.2
C03546    	     5.9	     5.5	     5.6	     5.0
C03585    	     7.2	     6.8	     7.2	     6.9
C03592    	     6.4	     6.2	     5.3	     6.6
C03607    	    10.4	    10.4	     9.9	    10.2
C03611    	     4.7	     5.0	     5.1	     4.9
C03618    	     5.8	     5.6	     4.0	     5.5
C03633    	     7.0	     6.9	     6.4	     6.9
C03635    	     8.7	     8.7	     7.8	     8.4
C03638    	     9.4	     9.2	     8.6	     8.6
C03642    	     6.7	     7.1	     7.0	     6.7
C03684    	     5.4	     5.0	     4.8	     4.5
C03723    	    13.0	    13.1	    13.0	    13.0
C03735    	     5.5	     5.3	     5.1	     4.8
C03736    	     7.0	     6.6	     7.2	     6.4
C03741    	     6.0	     5.8	     5.9	     6.1
C03780    	     7.7	     7.8	     7.8	     7.9
C03786    	     5.9	     6.0	     6.8	     6.2
C03794    	    10.6	    10.5	     9.7	    10.6
C03797    	     7.0	     6.9	     6.8	     6.8
C03798    	     6.3	     6.3	     7.0	     6.5
C03800    	     6.0	     5.8	     7.2	     6.6
C03802    	     4.9	     4.9	     4.2	     4.7
C03806    	     9.8	    10.1	     9.4	     9.7
C03838    	     5.8	     6.3	     6.6	     6.5
C03847    	     5.3	     5.5	     5.8	     5.4
C03852    	     5.0	     5.2	     4.8	     5.2
C03871    	     9.4	     9.6	     9.2	     9.5
C03879    	     9.7	     9.9	     9.4	     9.7
C03880    	     4.8	     4.9	     3.8	     4.4
C03881    	     5.8	     6.0	     6.8	     5.6
C03895    	     6.8	     6.9	     6.1	     6.7
C03899    	     7.4	     7.5	     7.6	     7.5
C03917    	     8.3	     8.4	     8.4	     8.5
C03921    	    12.6	    12.5	    12.5	    12.5
C03972    	     7.0	     7.0	     7.7	     7.1
C03997    	     5.1	     5.1	     5.1	     5.0
C04001    	     6.9	     6.7	     6.3	     6.9
C04021    	     6.8	     6.0	     7.0	     6.2
C04033    	     8.4	     8.2	     6.6	     7.9
C04063    	     6.7	     6.5	     5.8	     6.2
C04076    	    10.2	    10.4	    10.1	    10.3
C04088    	    10.3	    10.6	    10.1	    10.4
C04090    	     7.9	     8.0	     7.1	     7.7
C04105    	     6.3	     6.3	     6.2	     6.4
C04134    	     7.8	     7.7	     6.7	     7.3
C04141    	     3.7	     3.3	     4.4	     3.5
C04142    	     4.9	     5.4	     6.0	     5.5
C04180    	     5.1	     5.3	     5.9	     5.5
C04188    	     5.0	     4.6	     5.6	     5.2
C04230    	     5.0	     5.0	     5.1	     5.6
C04232    	     6.8	     6.7	     6.6	     6.3
C04233    	     5.8	     6.0	     6.1	     5.8
C04236    	    12.9	    12.8	    12.8	    12.9
C04245    	     8.7	     8.8	     8.2	     8.4
C04250    	     4.0	     3.8	     3.9	     3.9
C04253    	     6.8	     6.6	     7.2	     6.7
C04256    	     5.7	     5.7	     6.4	     5.6
C04260    	    12.9	    12.9	    12.8	    12.9
C04261    	     6.7	     7.4	     6.7	     6.9
C04272    	     5.1	     4.9	     4.9	     5.1
C04283    	     7.0	     6.9	     5.9	     7.0
C04294    	     6.3	     6.3	     5.7	     6.3
C04299    	     6.7	     6.9	     8.0	     6.8
C04302    	     9.8	     9.7	     9.3	     9.7
C04311    	    12.4	    12.4	    12.2	    12.2
C04312    	     8.6	     8.2	     8.3	     8.7
C04314    	    12.7	    12.7	    12.6	    12.6
C04317    	     6.8	     6.9	     6.8	     6.9
C04327    	     5.0	     5.0	     4.6	     5.0
C04355    	    13.1	    13.2	    13.0	    13.0
C04376    	     8.4	     8.5	     8.0	     8.3
C04394    	    10.4	    10.2	    10.0	    10.3
C04398    	    10.3	    10.3	     9.7	    10.0
C04405    	    10.0	     9.9	     9.2	     9.5
C04411    	     7.5	     8.0	     7.9	     7.6
C04425    	    11.5	    11.5	    11.2	    11.3
C04431    	     6.4	     6.5	     6.4	     6.5
C04442    	     8.4	     8.1	     7.5	     7.7
C04462    	     8.8	     8.9	     8.5	     8.6
C04466    	     7.8	     7.8	     7.5	     7.5
C04478    	     8.1	     8.1	     8.0	     8.1
C04484    	     7.3	     7.5	     6.9	     7.4
C04501    	     7.6	     7.9	     6.4	     7.4
C04521    	     8.9	     9.1	     8.9	     8.8
C04524    	     7.8	     7.7	     7.5	     7.9
C04540    	    12.1	    12.0	    12.0	    12.0
C04553    	     8.4	     8.8	     8.6	     8.7
C04556    	     3.6	     3.7	     4.7	     3.6
C04563    	     5.7	     5.5	     5.4	     5.7
C04570    	     5.3	     4.9	     5.0	     4.9
C04579    	     9.2	     9.1	     8.6	     8.6
C04597    	    12.7	    12.7	    12.5	    12.5
C04598    	    10.0	    10.0	     9.3	     9.7
C04614    	     8.3	     8.6	     8.1	     8.1
C04619    	     7.6	     7.7	     7.5	     8.0
C04631    	     7.6	     7.9	     8.1	     7.0
